User_ID,Game_Type,Model_Type,Num_Samples,Genuine_Accuracy,Impostor_Accuracy,Overall_Accuracy,Num_Impostor_IDs
55,forklift_simulator,RandomForest,5,1,1.0,1.0,2
55,forklift_simulator,RandomForest,6,1,1.0,1.0,2
55,forklift_simulator,RandomForest,7,1,1.0,1.0,1
55,forklift_simulator,RandomForest,8,1,0.0,0.5,0
55,forklift_simulator,RandomForest,9,1,0.0,0.5,0
55,forklift_simulator,RandomForest,10,1,0.0,0.5,0
56,forklift_simulator,RandomForest,1,1,1.0,1.0,13
56,forklift_simulator,RandomForest,2,1,1.0,1.0,3
56,forklift_simulator,RandomForest,3,1,1.0,1.0,2
56,forklift_simulator,RandomForest,4,1,1.0,1.0,2
56,forklift_simulator,RandomForest,5,1,1.0,1.0,1
56,forklift_simulator,RandomForest,6,1,0.0,0.5,0
56,forklift_simulator,RandomForest,7,1,0.0,0.5,0
56,forklift_simulator,RandomForest,8,1,0.0,0.5,0
56,forklift_simulator,RandomForest,9,1,0.0,0.5,0
56,forklift_simulator,RandomForest,10,1,0.0,0.5,0
57,forklift_simulator,RandomForest,1,1,1.0,1.0,12
57,forklift_simulator,RandomForest,2,1,1.0,1.0,4
57,forklift_simulator,RandomForest,3,1,1.0,1.0,1
57,forklift_simulator,RandomForest,4,1,1.0,1.0,1
57,forklift_simulator,RandomForest,5,1,0.0,0.5,0
57,forklift_simulator,RandomForest,6,1,0.0,0.5,0
57,forklift_simulator,RandomForest,7,1,0.0,0.5,0
57,forklift_simulator,RandomForest,8,1,0.0,0.5,0
57,forklift_simulator,RandomForest,9,1,0.0,0.5,0
57,forklift_simulator,RandomForest,10,1,0.0,0.5,0
58,forklift_simulator,RandomForest,1,1,1.0,1.0,13
58,forklift_simulator,RandomForest,2,1,1.0,1.0,3
58,forklift_simulator,RandomForest,3,1,1.0,1.0,2
58,forklift_simulator,RandomForest,4,1,1.0,1.0,1
58,forklift_simulator,RandomForest,5,1,1.0,1.0,1
58,forklift_simulator,RandomForest,6,1,1.0,1.0,1
58,forklift_simulator,RandomForest,7,1,0.0,0.5,0
58,forklift_simulator,RandomForest,8,1,0.0,0.5,0
58,forklift_simulator,RandomForest,9,1,0.0,0.5,0
58,forklift_simulator,RandomForest,10,1,0.0,0.5,0
59,forklift_simulator,RandomForest,1,1,1.0,1.0,13
59,forklift_simulator,RandomForest,2,1,1.0,1.0,3
59,forklift_simulator,RandomForest,3,1,1.0,1.0,2
59,forklift_simulator,RandomForest,4,1,0.0,0.5,0
59,forklift_simulator,RandomForest,5,1,0.0,0.5,0
59,forklift_simulator,RandomForest,6,1,0.0,0.5,0
59,forklift_simulator,RandomForest,7,1,0.0,0.5,0
59,forklift_simulator,RandomForest,8,1,0.0,0.5,0
59,forklift_simulator,RandomForest,9,1,0.0,0.5,0
59,forklift_simulator,RandomForest,10,1,0.0,0.5,0
0,beat_saber,RandomForest,1,1,1.0,1.0,11
0,beat_saber,RandomForest,2,1,1.0,1.0,4
0,beat_saber,RandomForest,3,1,1.0,1.0,3
0,beat_saber,RandomForest,4,1,1.0,1.0,2
0,beat_saber,RandomForest,5,1,1.0,1.0,1
0,beat_saber,RandomForest,6,1,0.0,0.5,0
0,beat_saber,RandomForest,7,1,0.0,0.5,0
0,beat_saber,RandomForest,8,1,0.0,0.5,0
0,beat_saber,RandomForest,9,1,0.0,0.5,0
0,beat_saber,RandomForest,10,1,0.0,0.5,0
1,beat_saber,RandomForest,1,1,1.0,1.0,11
1,beat_saber,RandomForest,2,1,1.0,1.0,4
1,beat_saber,RandomForest,3,1,1.0,1.0,2
1,beat_saber,RandomForest,4,1,1.0,1.0,2
1,beat_saber,RandomForest,5,1,1.0,1.0,2
1,beat_saber,RandomForest,6,1,0.0,0.5,0
1,beat_saber,RandomForest,7,1,0.0,0.5,0
1,beat_saber,RandomForest,8,1,0.0,0.5,0
1,beat_saber,RandomForest,9,1,0.0,0.5,0
1,beat_saber,RandomForest,10,1,0.0,0.5,0
2,beat_saber,RandomForest,1,1,1.0,1.0,12
2,beat_saber,RandomForest,2,1,1.0,1.0,3
2,beat_saber,RandomForest,3,1,1.0,1.0,2
2,beat_saber,RandomForest,4,1,1.0,1.0,2
2,beat_saber,RandomForest,5,1,1.0,1.0,1
2,beat_saber,RandomForest,6,1,1.0,1.0,1
2,beat_saber,RandomForest,7,1,0.0,0.5,0
2,beat_saber,RandomForest,8,1,0.0,0.5,0
2,beat_saber,RandomForest,9,1,0.0,0.5,0
2,beat_saber,RandomForest,10,1,0.0,0.5,0
3,beat_saber,RandomForest,1,1,1.0,1.0,12
3,beat_saber,RandomForest,2,1,1.0,1.0,4
3,beat_saber,RandomForest,3,1,1.0,1.0,2
3,beat_saber,RandomForest,4,1,0.0,0.5,0
3,beat_saber,RandomForest,5,1,0.0,0.5,0
3,beat_saber,RandomForest,6,1,0.0,0.5,0
3,beat_saber,RandomForest,7,1,0.0,0.5,0
3,beat_saber,RandomForest,8,1,0.0,0.5,0
3,beat_saber,RandomForest,9,1,0.0,0.5,0
3,beat_saber,RandomForest,10,1,0.0,0.5,0
4,beat_saber,RandomForest,1,1,1.0,1.0,12
4,beat_saber,RandomForest,2,1,1.0,1.0,4
4,beat_saber,RandomForest,3,1,1.0,1.0,2
4,beat_saber,RandomForest,4,1,1.0,1.0,1
4,beat_saber,RandomForest,5,1,1.0,1.0,1
4,beat_saber,RandomForest,6,1,0.0,0.5,0
4,beat_saber,RandomForest,7,1,0.0,0.5,0
4,beat_saber,RandomForest,8,1,0.0,0.5,0
4,beat_saber,RandomForest,9,1,0.0,0.5,0
4,beat_saber,RandomForest,10,1,0.0,0.5,0
5,beat_saber,RandomForest,1,1,1.0,1.0,11
5,beat_saber,RandomForest,2,1,1.0,1.0,4
5,beat_saber,RandomForest,3,1,1.0,1.0,2
5,beat_saber,RandomForest,4,1,1.0,1.0,2
5,beat_saber,RandomForest,5,1,1.0,1.0,2
5,beat_saber,RandomForest,6,1,1.0,1.0,2
5,beat_saber,RandomForest,7,1,1.0,1.0,1
5,beat_saber,RandomForest,8,1,0.0,0.5,0
5,beat_saber,RandomForest,9,1,0.0,0.5,0
5,beat_saber,RandomForest,10,1,0.0,0.5,0
6,beat_saber,RandomForest,1,1,1.0,1.0,14
6,beat_saber,RandomForest,2,1,1.0,1.0,2
6,beat_saber,RandomForest,3,1,1.0,1.0,2
6,beat_saber,RandomForest,4,1,0.0,0.5,0
6,beat_saber,RandomForest,5,1,0.0,0.5,0
6,beat_saber,RandomForest,6,1,0.0,0.5,0
6,beat_saber,RandomForest,7,1,0.0,0.5,0
6,beat_saber,RandomForest,8,1,0.0,0.5,0
6,beat_saber,RandomForest,9,1,0.0,0.5,0
6,beat_saber,RandomForest,10,1,0.0,0.5,0
7,beat_saber,RandomForest,1,1,1.0,1.0,11
7,beat_saber,RandomForest,2,1,1.0,1.0,5
7,beat_saber,RandomForest,3,1,1.0,1.0,2
7,beat_saber,RandomForest,4,1,1.0,1.0,1
7,beat_saber,RandomForest,5,1,1.0,1.0,1
7,beat_saber,RandomForest,6,1,1.0,1.0,1
7,beat_saber,RandomForest,7,1,0.0,0.5,0
7,beat_saber,RandomForest,8,1,0.0,0.5,0
7,beat_saber,RandomForest,9,1,0.0,0.5,0
7,beat_saber,RandomForest,10,1,0.0,0.5,0
8,beat_saber,RandomForest,1,1,1.0,1.0,14
8,beat_saber,RandomForest,2,1,1.0,1.0,2
8,beat_saber,RandomForest,3,1,1.0,1.0,2
8,beat_saber,RandomForest,4,1,1.0,1.0,2
8,beat_saber,RandomForest,5,1,1.0,1.0,1
8,beat_saber,RandomForest,6,1,0.0,0.5,0
8,beat_saber,RandomForest,7,1,0.0,0.5,0
8,beat_saber,RandomForest,8,1,0.0,0.5,0
8,beat_saber,RandomForest,9,1,0.0,0.5,0
8,beat_saber,RandomForest,10,1,0.0,0.5,0
9,beat_saber,RandomForest,1,1,1.0,1.0,12
9,beat_saber,RandomForest,2,1,1.0,1.0,3
9,beat_saber,RandomForest,3,1,1.0,1.0,3
9,beat_saber,RandomForest,4,1,1.0,1.0,1
9,beat_saber,RandomForest,5,1,0.0,0.5,0
9,beat_saber,RandomForest,6,1,0.0,0.5,0
9,beat_saber,RandomForest,7,1,0.0,0.5,0
9,beat_saber,RandomForest,8,1,0.0,0.5,0
9,beat_saber,RandomForest,9,1,0.0,0.5,0
9,beat_saber,RandomForest,10,1,0.0,0.5,0
10,beat_saber,RandomForest,1,1,1.0,1.0,12
10,beat_saber,RandomForest,2,1,1.0,1.0,3
10,beat_saber,RandomForest,3,1,1.0,1.0,2
10,beat_saber,RandomForest,4,1,1.0,1.0,1
10,beat_saber,RandomForest,5,1,0.0,0.5,0
10,beat_saber,RandomForest,6,1,0.0,0.5,0
10,beat_saber,RandomForest,7,1,0.0,0.5,0
10,beat_saber,RandomForest,8,1,0.0,0.5,0
10,beat_saber,RandomForest,9,1,0.0,0.5,0
10,beat_saber,RandomForest,10,1,0.0,0.5,0
11,beat_saber,RandomForest,1,1,1.0,1.0,13
11,beat_saber,RandomForest,2,1,1.0,1.0,1
11,beat_saber,RandomForest,3,1,0.0,0.5,0
11,beat_saber,RandomForest,4,1,0.0,0.5,0
11,beat_saber,RandomForest,5,1,0.0,0.5,0
11,beat_saber,RandomForest,6,1,0.0,0.5,0
11,beat_saber,RandomForest,7,1,0.0,0.5,0
11,beat_saber,RandomForest,8,1,0.0,0.5,0
11,beat_saber,RandomForest,9,1,0.0,0.5,0
11,beat_saber,RandomForest,10,1,0.0,0.5,0
12,beat_saber,RandomForest,1,1,1.0,1.0,11
12,beat_saber,RandomForest,2,1,1.0,1.0,4
12,beat_saber,RandomForest,3,1,1.0,1.0,2
12,beat_saber,RandomForest,4,1,1.0,1.0,2
12,beat_saber,RandomForest,5,1,1.0,1.0,2
12,beat_saber,RandomForest,6,1,1.0,1.0,1
12,beat_saber,RandomForest,7,1,0.0,0.5,0
12,beat_saber,RandomForest,8,1,0.0,0.5,0
12,beat_saber,RandomForest,9,1,0.0,0.5,0
12,beat_saber,RandomForest,10,1,0.0,0.5,0
13,beat_saber,RandomForest,1,1,1.0,1.0,11
13,beat_saber,RandomForest,2,1,1.0,1.0,5
13,beat_saber,RandomForest,3,1,1.0,1.0,1
13,beat_saber,RandomForest,4,1,1.0,1.0,1
13,beat_saber,RandomForest,5,1,0.0,0.5,0
13,beat_saber,RandomForest,6,1,0.0,0.5,0
13,beat_saber,RandomForest,7,1,0.0,0.5,0
13,beat_saber,RandomForest,8,1,0.0,0.5,0
13,beat_saber,RandomForest,9,1,0.0,0.5,0
13,beat_saber,RandomForest,10,1,0.0,0.5,0
14,beat_saber,RandomForest,1,0,1.0,0.5,12
14,beat_saber,RandomForest,2,1,1.0,1.0,3
14,beat_saber,RandomForest,3,1,1.0,1.0,3
14,beat_saber,RandomForest,4,1,1.0,1.0,1
14,beat_saber,RandomForest,5,1,0.0,0.5,0
14,beat_saber,RandomForest,6,1,0.0,0.5,0
14,beat_saber,RandomForest,7,1,0.0,0.5,0
14,beat_saber,RandomForest,8,1,0.0,0.5,0
14,beat_saber,RandomForest,9,1,0.0,0.5,0
14,beat_saber,RandomForest,10,1,0.0,0.5,0
15,beat_saber,RandomForest,1,1,1.0,1.0,12
15,beat_saber,RandomForest,2,1,0.75,0.875,4
15,beat_saber,RandomForest,3,1,1.0,1.0,2
15,beat_saber,RandomForest,4,1,1.0,1.0,1
15,beat_saber,RandomForest,5,1,1.0,1.0,1
15,beat_saber,RandomForest,6,1,0.0,0.5,0
15,beat_saber,RandomForest,7,1,0.0,0.5,0
15,beat_saber,RandomForest,8,1,0.0,0.5,0
15,beat_saber,RandomForest,9,1,0.0,0.5,0
15,beat_saber,RandomForest,10,1,0.0,0.5,0
16,beat_saber,RandomForest,1,1,1.0,1.0,10
16,beat_saber,RandomForest,2,1,1.0,1.0,4
16,beat_saber,RandomForest,3,1,1.0,1.0,3
16,beat_saber,RandomForest,4,1,1.0,1.0,1
16,beat_saber,RandomForest,5,1,1.0,1.0,1
16,beat_saber,RandomForest,6,1,1.0,1.0,1
